stdThresh,profitThresh,window,profit,txcount,
1.5,1.014,180,-0.245795,13,
1.5,1.014,195,-0.237079,17,
1.5,1.014,210,-0.20507,15,
1.5,1.014,225,-0.0627355,14,
1.5,1.014,240,-0.219845,11,
1.5,1.015,30,-0.297241,34,
1.5,1.015,45,-0.301363,30,
1.5,1.015,60,-0.281272,30,
1.5,1.015,75,-0.234005,26,
1.5,1.015,90,-0.258543,24,
1.5,1.015,105,-0.302704,19,
1.5,1.015,120,-0.295595,17,
1.5,1.015,135,-0.233616,11,
1.5,1.015,150,-0.118948,12,
1.5,1.015,165,-0.230479,11,
1.5,1.015,180,-0.244923,13,
1.5,1.015,195,-0.232298,15,
1.5,1.015,210,-0.202568,13,
1.5,1.015,225,-0.060847,14,
1.5,1.015,240,-0.218088,11,
1.5,1.016,30,-0.294817,34,
1.5,1.016,45,-0.298954,30,
1.5,1.016,60,-0.283382,30,
1.5,1.016,75,-0.235595,26,
1.5,1.016,90,-0.260082,24,
1.5,1.016,105,-0.300299,19,
1.5,1.016,120,-0.29443,17,
1.5,1.016,135,-0.231493,11,
1.5,1.016,150,-0.115909,12,
1.5,1.016,165,-0.227825,11,
1.5,1.016,180,-0.242319,13,
1.5,1.016,195,-0.22862,15,
1.5,1.016,210,-0.202407,13,
1.5,1.016,225,-0.066028,14,
1.5,1.016,240,-0.214342,11,
1.5,1.017,30,-0.292522,30,
1.5,1.017,45,-0.298349,30,
1.5,1.017,60,-0.287605,28,
1.5,1.017,75,-0.235219,26,
1.5,1.017,90,-0.259718,24,
1.5,1.017,105,-0.299695,19,
1.5,1.017,120,-0.29443,17,
1.5,1.017,135,-0.230735,11,
1.5,1.017,150,-0.115146,12,
1.5,1.017,165,-0.236717,9,
1.5,1.017,180,-0.241665,13,
1.5,1.017,195,-0.22569,13,
1.5,1.017,210,-0.201145,13,
1.5,1.017,225,-0.0645496,14,
1.5,1.017,240,-0.213664,11,
1.5,1.018,30,-0.291781,30,
1.5,1.018,45,-0.297413,28,
1.5,1.018,60,-0.287605,28,
1.5,1.018,75,-0.230761,24,
1.5,1.018,90,-0.255403,22,
1.5,1.018,105,-0.305477,17,
1.5,1.018,120,-0.294687,17,
1.5,1.018,135,-0.229283,9,
1.5,1.018,150,-0.113967,10,
1.5,1.018,165,-0.235917,9,
1.5,1.018,180,-0.240654,11,
1.5,1.018,195,-0.224227,11,
1.5,1.018,210,-0.199258,11,
1.5,1.018,225,-0.061417,12,
1.5,1.018,240,-0.213391,9,
1.5,1.019,30,-0.28755,30,
1.5,1.019,45,-0.293912,28,
1.5,1.019,60,-0.287605,28,
1.5,1.019,75,-0.230761,24,
1.5,1.019,90,-0.255403,22,
1.5,1.019,105,-0.302016,17,
1.5,1.019,120,-0.294687,17,
1.5,1.019,135,-0.225442,9,
1.5,1.019,150,-0.109551,10,
1.5,1.019,165,-0.23211,9,
1.5,1.019,180,-0.23687,11,
1.5,1.019,195,-0.220361,11,
1.5,1.019,210,-0.191664,9,
1.5,1.019,225,-0.0534482,10,
1.5,1.019,240,-0.208692,9,
1.5,1.02,30,-0.28755,30,
1.5,1.02,45,-0.293912,28,
1.5,1.02,60,-0.287864,28,
1.5,1.02,75,-0.230761,24,
1.5,1.02,90,-0.255403,22,
1.5,1.02,105,-0.302016,17,
1.5,1.02,120,-0.294687,17,
